bid_item_code,category,description,unit_of_measure
210-01730,210,Reset Parshall Flume,EACH
210-01996,210,Relay Pipe (3/4 Inch),LF
210-02002,210,Relay Pipe (2 Inch),LF
210-02003,210,Relay Pipe (3 Inch),LF
210-02004,210,Relay Pipe (4 Inch),LF
210-02006,210,Relay Pipe (6 Inch),LF
210-02008,210,Relay Pipe (8 Inch),LF
210-02009,210,Relay Pipe (9 Inch),LF
210-02010,210,Relay Pipe (10 Inch),LF
210-02012,210,Relay Pipe (12 Inch),LF
210-02015,210,Relay Pipe (15 Inch),LF
210-02016,210,Relay Pipe (16 Inch),LF
210-02018,210,Relay Pipe (18 Inch),LF
210-02021,210,Relay Pipe (21 Inch),LF
210-02024,210,Relay Pipe (24 Inch),LF
210-02027,210,Relay Pipe (27 Inch),LF
210-02030,210,Relay Pipe (30 Inch),LF
210-02036,210,Relay Pipe (36 Inch),LF
210-02042,210,Relay Pipe (42 Inch),LF
210-02048,210,Relay Pipe (48 Inch),LF
210-02054,210,Relay Pipe (54 Inch),LF
210-02060,210,Relay Pipe (60 Inch),LF
210-02066,210,Relay Pipe (66 Inch),LF
210-02072,210,Relay Pipe (72 Inch),LF
210-02078,210,Relay Pipe (78 Inch),LF
210-02084,210,Relay Pipe (84 Inch),LF
210-02115,210,Relay Arch Pipe (15 Inch Equivalent),LF
210-02118,210,Relay Arch Pipe (18 Inch Equivalent),LF
210-02121,210,Relay Arch Pipe (21 Inch Equivalent),LF
210-02124,210,Relay Arch Pipe (24 Inch Equivalent),LF
210-02130,210,Relay Arch Pipe (30 Inch Equivalent),LF
210-02136,210,Relay Arch Pipe (36 Inch Equivalent),LF
210-02142,210,Relay Arch Pipe (42 Inch Equivalent),LF
210-02148,210,Relay Arch Pipe (48 Inch Equivalent),LF
210-02154,210,Relay Arch Pipe (54 Inch Equivalent),LF
210-02160,210,Relay Arch Pipe (60 Inch Equivalent),LF
210-02172,210,Relay Arch Pipe (72 Inch Equivalent),LF
210-02300,210,Grout Test Section,SY
210-02500,210,Relay Sprinkler System,LF
210-02510,210,Relay Sprinkler System,L S
210-02700,210,Relay Cable,LF
210-02800,210,Relay Sidewalk,SY
210-02900,210,Relay Riprap,CY
210-03000,210,Rebuild Cattle Guard,EACH
210-03100,210,Replace Concrete Pavement,SY
210-04000,210,Adjust Structure,EACH
210-04005,210,Heat Straightening,SF
210-04006,210,Heat Straightening (Special),L S
210-04007,210,Heat Straightening (Special),EACH
210-04010,210,Adjust Manhole,EACH
210-04011,210,Adjust Manhole (Special),EACH
210-04015,210,Modify Manhole,EACH
210-04016,210,Modify Manhole (Special),EACH
210-04020,210,Modify Inlet,EACH
210-04025,210,Modify Structure,EACH
210-04027,210,Modify Structure (Special),EACH
210-04028,210,Modifications to Existing Portals,EACH
210-04030,210,Modify Guardrail,LF
210-04035,210,Modify Guardrail (Special),LF
210-04050,210,Adjust Valve Box,EACH
210-04051,210,Adjust Valve Box (Special),EACH
210-04060,210,Adjust Water Meter,EACH
210-04070,210,Adjust Well,EACH
210-04100,210,Adjust Girder,EACH
210-04200,210,Adjust Guardrail,LF
210-04500,210,Relocate Building,L S
211-00000,211,Tunnel Excavation,CY
211-00001,211,Tunnel Excavation,LF
211-00002,211,Tunnel Excavation (Class B),CY
211-00003,211,Tunnel Excavation (Class C),CY
211-00004,211,Tunnel Excavation (Class D),CY
211-00005,211,Tunnel Excavation (Haul),CY
211-00007,211,Mine Strap,EACH
211-00010,211,Rock Excavation (Class A),CY
211-00011,211,Rock Excavation (Class B),CY
211-00012,211,Rock Excavation (Class C),CY
211-00013,211,Rock Excavation (Class D),CY
211-00014,211,Rock Excavation (Class E),CY
211-00015,211,Rock Excavation (Class F),CY
211-00050,211,Adit Excavation,LF
211-00060,211,Heading (Standby),DAY
211-00080,211,Test Alcove Excavation and Support,EACH
211-00100,211,Drilling Hole,LF
211-00105,211,1 Inch Drilled Hole,LF
211-00110,211,1-1/4 Inch Drilled Hole,LF
211-00112,211,1-1/2 Inch Drilled Hole,LF
211-00116,211,2 Inch Drilled Hole,LF
211-00118,211,2 Inch Drilled Hole (Formation),EACH
211-00124,211,3 Inch Drilled Hole,LF
211-00136,211,4 Inch Drilled Hole,LF
211-00148,211,6 Inch Drilled Hole,LF
211-00150,211,Patch Existing Drill Hole,EACH
211-00152,211,Drain System Flushing (Setup),EACH
211-00153,211,Drain System Flushing,DAY
211-00180,211,Nx Core Drilled Hole,LF
211-00212,211,1-1/2 Inch Core Drilled Hole,LF
211-00220,211,2 Inch Cored Drilled Hole,EACH
211-00222,211,2 Inch Core Drilled Hole (Voids),EACH
211-00224,211,3 Inch Core Drilled Hole,LF
211-00282,211,1-1/2 Inch Core - 6 Inch Overcore,LF
211-00316,211,2 Inch Reamed Hole,LF
211-00319,211,2-3/8 Inch Reamed Hole,LF
211-00331,211,3-7/8 Inch Reamed Hole,LF
211-00500,211,Ew Borehole Casing,LF
211-00510,211,Nw Borehole Casing,LF
211-00972,211,"Spile #9x15 Foot Grade 60 Dowel, Grouted",EACH
211-00974,211,"Arch #9x15 Foot Grade 75 Dowel, Grouted",EACH
211-00976,211,"Sidewall #9x15 Foot Grade 75 Dowel, Grouted",EACH
211-00978,211,"Pillar #9x15 Foot Grade 75 Dowel, Grouted",EACH
211-00980,211,"Spile #9 x 14 Foot, Grade 60 Grouted",EACH
211-00981,211,"Spile #11 x 20 Foot, Grade 60 Grouted",EACH
211-00982,211,"Arch #9 x 16 Foot, Grade 75 Dowel,  Resin Grouted",EACH
211-00983,211,"Sidewall #9 x 12 Foot, Grade 75 Dowel, Resin Grouted",EACH
211-00984,211,"Sidewall #9 x 16 Foot, Grade 75 Dowel, Resin Grouted",EACH
211-00985,211,Supplemental Rock Reinforcement (Dowels),LF
211-00986,211,"Supplemental Support #9 x 14 Foot, Grade 75 Spile Grouted",LF
211-00987,211,"Pillar #9 x 16 Foot, Grade 75 Dowell Cement or Resin Grouted",EACH
211-00988,211,Portal Protection Canopy (Furnish and Install),EACH
211-01006,211,Rock Bolt (3/4 Inch),LF
211-01008,211,Rock Bolt (1 Inch),LF
211-01009,211,Rock Bolt (1-1/8 Inch),LF
211-01011,211,Rock Bolt (1-3/8 Inch),LF
211-01014,211,Rock Bolt (1 3/4 Inch),LF
211-01016,211,Rock Bolt (2 Inch),LF
211-01024,211,Rock Bolt (3 Inch),LF
211-01100,211,Rock Reinforcement (Bolts),EACH
211-01110,211,Rock Reinforcement (Dowels),EACH
211-01111,211,Rock Reinforcement (Dowels),LF
211-01115,211,Rock Reinforcement (Number 10),LF
211-01120,211,Rock Reinforcement (Spiles),LF
211-01121,211,Rock Reinforcement (Temporary A),LF
211-01122,211,Rock Reinforcement (Temporary B),LF
211-01123,211,Rock Reinforcement (Permanent A),LF
211-01124,211,Rock Reinforcement (Permanent B),LF
211-01130,211,Auxiliary Anchor Dowel,EACH
211-01150,211,Rock Reinforcement Tests,EACH
211-01160,211,Trial Pull Test,EACH
211-01170,211,Borehole Extensometers,LF
211-01180,211,Pressure Cell Pairs,EACH
211-01190,211,Optical Survey Targets,EACH
211-01195,211,Convergence Reference Point Arrays,EACH
211-01200,211,Rock Anchor,LF
211-01250,211,Rock Bolt,LF
211-01260,211,Portal Anchor No. 11,LF
211-01300,211,Rock Anchor,EACH
211-01409,211,Rock Anchor (9 Foot),EACH
211-01411,211,Rock Anchor (11 Foot),EACH
211-01413,211,Rock Anchor (13 Foot),EACH
211-01450,211,Portable Rockfall Fence,L S
211-01455,211,Rock Tiedown Anchor (Cement Grouted),LF
211-01456,211,Rock Tiedown Anchor (Cement Grouted),EACH
211-01508,211,Rock Reinforcement Resin Grouted Number 8 Rock Bolt,LF
211-01509,211,Rock Reinforcement Resin Grouted Number 9 Rock Bolt,LF
211-01510,211,Rock Reinforcement Resin Grouted Number 10 Rock Bolt,LF
211-01511,211,Rock Reinforcement Resin Grouted Number 11 Rock Bolt,LF
211-01608,211,Rock Reinforcement Resin Grouted Number 8 Tieback,LF
211-01610,211,Rock Reinforcement Resin Grouted Number 10 Tieback,LF
211-01614,211,Rock Reinforcement Resin Grouted Number 14 Tieback,LF
211-01709,211,Rock Reinforcement Resin Grouted Number 9 Spiling,LF
211-02012,211,Soil Anchor (1-1/4 Inch),LF
211-02100,211,Spot Dowel No. 10,LF
211-02105,211,Tunnel Dowel No. 10 X 12 Foot,EACH
211-02106,211,Tunnel Dowel No. 10 X 6 Foot,LF
211-02110,211,Brow Rock Dowel No. 11,LF
211-02115,211,Abutment Rock Dowel No. 11,LF
211-02116,211,Rock Dowel,LF
211-02120,211,Pillar Rock Dowel No. 11,LF
211-02122,211,Portal Dowel No. 6 X 7 Foot,EACH
211-02125,211,Portal Dowel No. 10 X 12 Foot,EACH
211-02126,211,Portal Dowel No. 11 X 15 Foot,EACH
211-02130,211,Tunnel Spile No. 10 X 15 Foot,EACH
211-02132,211,Tunnel Dowel No. 10 X 6 Foot,EACH
211-02135,211,Portal Spile No. 10 X 12 Foot,EACH
211-02136,211,Portal Spile No. 11 X 20 Foot,EACH
211-02140,211,Pillar Rock Anchor No. 11,LF
211-02145,211,Mine Straps,LB
211-02150,211,End Hardware,EACH
211-02205,211,Buttress Berm Grouting,TON
211-02210,211,Pre Grouting,TON
211-02220,211,Re-Grouting,TON
211-02230,211,Grouting Connection,EACH
211-02232,211,Grouting Connection (Pre-Grout),EACH
211-02233,211,Grouting Connection (Contact Grout),EACH
211-02240,211,Contact Grouting,TON
211-02250,211,Steel Pipe For Grouting,LB
211-02260,211,Chemical Grout,GAL
211-02270,211,Cement Grout,CF
211-02275,211,Cement Grout,CY
211-02277,211,Cement Grout (Voids),CY
211-02278,211,Cement Grout (Formation),CY
211-02280,211,Type A Grout,TON
211-02290,211,Type B Grout,TON
211-02300,211,Grout Test Section,SY
211-02600,211,Steel Invert Strut,EACH
211-03000,211,Direct Rock Support (Furnish),EACH
211-03001,211,Dewatering Special,MGAL
211-03005,211,Dewatering,L S
211-03010,211,Direct Rock Support,LB
211-03015,211,Direct Rock Support (Reinstall),EACH
211-03030,211,Diversion Structure,L S
211-03040,211,Excess Water,EACH
211-03060,211,Blast Monitoring,L S
211-03500,211,Convergence Reference Point,EACH
211-03510,211,Convergence Point (Steel Set),EACH
211-03520,211,Rock Reinforcement Instrument Protection,EACH
211-03530,211,Extensometer Protection,EACH
211-03540,211,Strain Gage (End Block),EACH
211-04000,211,Monitoring and Abandonment of Instrumentation,L S
211-04010,211,Borehole Extensometer Type B,LF
211-04020,211,Borehole Extensometer Type C,EACH
211-04050,211,Optical Survey Target,EACH
211-04100,211,Remote Readout Assembly Type A,EACH
211-04110,211,Remote Readout Assembly Type B,EACH
211-04120,211,Remote Readout Assembly Type C,EACH
211-04150,211,Digital Readout,EACH
211-04160,211,Mechanical Readout Device,EACH
211-04200,211,Man Basket,L S
211-05001,211,Crack Preparation (Type 1),LF
211-05002,211,Crack Preparation (Type 2),LF
211-05003,211,Crack Preparation (Type 3),LF
212-00005,212,Seeding (Native),LB
212-00006,212,Seeding (Native),ACRE
212-00007,212,Seeding (Native) (Hydraulic),ACRE
212-00009,212,Seeding (Temporary),ACRE
212-00010,212,Seeding (Lawn),LB
212-00011,212,Seeding (Lawn),ACRE
212-00012,212,Seeding (Furnished),ACRE
212-00015,212,Seeding (Forbs),LB
212-00020,212,Seeding (Forbs),OZ
212-00022,212,Seeding (Riparian),ACRE
212-00025,212,Seeding (Shrubs),LB
212-00027,212,Seeding (Trees),LB
212-00028,212,Seeding (Wetlands),ACRE
212-00030,212,Fertilizer (Available N),LB
212-00031,212,Fertilizer (Available P),LB
212-00032,212,Soil Conditioning,ACRE
212-00040,212,Soil Preparation (Lawn),ACRE
212-00043,212,Soil Preparation (Native),ACRE
212-00045,212,Soil Preparation (Sod),SF
212-00047,212,Soil Preparation (Special),ACRE
212-00048,212,Soil Preparation (Special),CY
212-00049,212,Soil Preparation (Special),LB
212-00050,212,Sod,SF
212-00055,212,Sod (Buffalograss),SF
212-00100,212,Tree Retention and Protection,L S
212-00900,212,Compost,CY
212-01000,212,Peat,CY
212-01100,212,Sewage Sludge,TON
212-01200,212,Landscape Restoration,L S
213-00000,213,Mulching,ACRE
213-00001,213,Mulching,TON
213-00002,213,Mulching (Weed Free Hay),ACRE
213-00003,213,Mulching (Weed Free),ACRE
213-00004,213,Mulching (Weed Free Straw),ACRE
213-00005,213,Mulching (Decorative),CF
213-00006,213,Mulching (Weed Free),TON
213-00007,213,Mulching (Wood Strand),ACRE
213-00008,213,Mulching (Wood Chip),CF
213-00009,213,Flexible Growth Medium,ACRE
213-00011,213,Mulching (Hydraulic),ACRE
213-00012,213,Spray-on Mulch Blanket,ACRE
213-00013,213,Spray-on Mulch Blanket,LB
213-00015,213,Soil Retention Blanket (Excelsior),SY
213-00025,213,Soil Retention Blanket (Jute),SY
213-00030,213,Soil Retention Blanket (Special),SY
213-00035,213,Soil Retention Blanket (Plastic),SY
213-00040,213,Soil Retention Mat (Cellular),SY
213-00050,213,Soil Retention Grid,SY
213-00061,213,Mulch Tackifier,LB
213-00065,213,Inorganic Mulch,CY
213-00067,213,Rock Mulch (Weed Free),SF
213-00070,213,Landscape Weed Barrier Fabric,SY
213-00071,213,Vegetation Control Mat,SY
213-00100,213,Soil Binder,ACRE
213-00150,213,Bonded Fiber Matrix,ACRE
213-00151,213,Bonded Fiber Matrix,LB
213-00212,213,12 Inch Root Barrier,LF
213-00218,213,18 Inch Root Barrier,LF
213-00300,213,Concrete Landscape Border,LF
213-00400,213,Metal Landscape Border (Install Only),LF
213-00410,213,Plastic Landscape Border,LF
213-00440,213,Metal Landscape Border (1/8x4 Inch),LF
213-00460,213,Metal Landscape Border (3/16x4 Inch),LF
213-00462,213,Metal Landscape Border (3/16 X 5-1/2 Inch),LF
213-00468,213,Metal Landscape Border (3/16x10 Inch),LF
213-00470,213,Metal Landscape Border (1/4x5 Inch),LF
213-00500,213,Tree Grate,EACH
213-00510,213,Tree Grate (Install Only),EACH
213-00550,213,Tree Ring,LF
213-00600,213,Landscape Log,LF
213-00610,213,Landscape Log,EACH
213-00700,213,Landscape Boulder,EACH
213-00705,213,Landscape Boulder (Special),EACH
213-00800,213,Brush Fill,CY
213-01000,213,Erosion Bales,EACH
214-00000,214,Landscape Maintenance,L S
214-00005,214,Landscape Maintenance (24 Month),L S
214-00010,214,Temporary Irrigation,L S
214-00100,214,Planter Soil Mix,CY
214-00104,214,Plant (Tubeling),EACH
214-00105,214,Plant (Tubeling) (Furnish Only),EACH
214-00106,214,Plant (Tubeling) (Install Only),EACH
214-00110,214,Plant (1 Gallon) (Furnish Only),EACH
214-00111,214,Plant (1 Gallon) (Install Only),EACH
214-00145,214,Plant Protection Fence,LF
214-00150,214,Plant (5 Gallon) (Furnish Only),EACH
214-00151,214,Plant (5 Gallon) (Install Only),EACH
214-00155,214,Plant (Ball and Burlap),EACH
214-00156,214,Plant (7 Gallon) (Install Only),EACH
214-00160,214,Plant (Ball and Burlap) (Furnish Only),EACH
214-00161,214,Plant (Ball and Burlap) (Install Only),EACH
214-00165,214,Plant Storage,MON
214-00170,214,Container Shift (Repotting),EACH
214-00190,214,Container Shift (5 Gallon to 7 Gallon),EACH
214-00195,214,Container Shift (5 Gallon to 7 Gallon),EACH
214-00200,214,Container Shift (1 Gallon to 5 Gallon),EACH
214-00201,214,Deciduous Tree (Tubeling),EACH
214-00205,214,Deciduous Tree (5 Gallon Container),EACH
214-00210,214,Deciduous Tree (1 Inch Caliper),EACH
214-00215,214,Deciduous Tree (1.5 Inch Caliper),EACH
214-00217,214,Deciduous Tree (1.5 Inch Caliper) (Furnish Only),EACH
214-00220,214,Deciduous Tree (2 Inch Caliper),EACH
214-00222,214,Deciduous Tree (2 Inch Caliper) (Furnish Only),EACH
214-00225,214,Deciduous Tree (2.5 Inch Caliper),EACH
214-00227,214,Deciduous Tree (2.5 Inch Caliper) (Furnish Only),EACH
214-00230,214,Deciduous Tree (3 Inch Caliper),EACH
214-00235,214,Deciduous Tree (3.5 Inch Caliper),EACH
214-00240,214,Deciduous Tree (4 Inch Caliper),EACH
214-00260,214,Deciduous Tree (6 Foot),EACH
214-00262,214,Deciduous Tree (6 Foot) (Furnish Only),EACH
214-00280,214,Deciduous Tree (8 Foot),EACH
214-00282,214,Deciduous Tree (8 Foot) (Furnish Only),EACH
214-00301,214,Deciduous Shrub (Tubeling),EACH
214-00310,214,Deciduous Shrub (1 Gallon Container),EACH
214-00320,214,Deciduous Shrub (2 Gallon Container),EACH
214-00330,214,Deciduous Shrub (3 Gallon Container),EACH
214-00350,214,Deciduous Shrub (5 Gallon Container),EACH
214-00365,214,Plant (2 1/2 Inch Caliper) (Furnish Only),EACH
214-00370,214,Deciduous Shrub (7 Gallon Container),EACH
214-00401,214,Evergreen Tree (Tubeling),EACH
214-00410,214,Evergreen Tree (1 Gallon Container),EACH
214-00450,214,Evergreen Tree (5 Gallon Container),EACH
214-00455,214,Evergreen Tree (5 Gallon) (Install Only),EACH
214-00470,214,Evergreen Tree (7 Gallon Container),EACH
214-00502,214,Evergreen Tree (2 Foot) (Ball and Burlap),EACH
214-00504,214,Evergreen Tree (4 Foot) (Ball and Burlap),EACH
214-00505,214,Evergreen Tree (4 Foot) (Ball and Burlap) (Furnish Only),EACH
214-00506,214,Evergreen Tree (6 Foot) (Ball and Burlap),EACH
214-00507,214,Evergreen Tree (6 Foot) (Ball and Burlap) (Furnish Only),EACH
214-00508,214,Evergreen Tree (8 Foot) (Ball and Burlap),EACH
214-00509,214,Evergreen Tree (8 Foot) (Ball and Burlap) (Furnish Only),EACH
214-00510,214,Evergreen Tree (10 Foot) (Ball and Burlap),EACH
214-00511,214,Evergreen Tree (10 F00t) (Ball and Burlap) (Furnish Only),EACH
214-00512,214,Evergreen Tree (12 Foot) (Ball and Burlap),EACH
214-00514,214,Evergreen Tree (14 Foot) (Ball and Burlap),EACH
214-00601,214,Evergreen Shrub (Tubeling),EACH
214-00610,214,Evergreen Shrub (1 Gallon Container),EACH
214-00630,214,Evergreen Shrub (3 Gallon Container),EACH
214-00650,214,Evergreen Shrub (5 Gallon Container),EACH
214-00670,214,Evergreen Shrub (7 Gallon Container),EACH
214-00701,214,Broadleaf Evergreen Shrub (Tubeling),EACH
214-00710,214,Broadleaf Evergreen Shrub (1 Gallon Container),EACH
214-00730,214,Broadleaf Evergreen Shrub (3 Gallon Container),EACH
214-00750,214,Broadleaf Evergreen Shrub (5 Gallon Container),EACH
214-00770,214,Broadleaf Evergreen Shrub (7 Gallon Container),EACH
214-00800,214,Moss Planting,EACH
214-00801,214,Ground Cover Vines (Tubeling),EACH
214-00805,214,Ground Cover Vines (2.25 Inch Pots),EACH
214-00810,214,Ground Cover Vines (1 Gallon Container),EACH
214-00850,214,Ground Cover Vines (5 Gallon Container),EACH
214-00901,214,Perennials (Tubeling),EACH
214-00905,214,Perennials (2.25 Inch Pot),EACH
214-00908,214,Perennials (1 Quart Container),EACH
214-00910,214,Perennials (1 Gallon Container),EACH
214-00950,214,Perennials (5 Gallon Container),EACH
214-01000,214,Bulb,EACH
214-01010,214,Brush Layer Cutting,EACH
214-01011,214,Brush Layer Cutting,SY
214-01015,214,Willow Cuttings,EACH
214-01017,214,Herbaceous Wetland Plants (10 Cubic Inch Plug),EACH
214-01020,214,Hedge Layer Plant,EACH
214-01025,214,Dormant Log Cutting,EACH
214-01030,214,Wattle,EACH
214-01031,214,Facines,EACH
214-01110,214,Planter Soil Mix,CY
214-01120,214,Gambel Oak Acorn Pocket Planting,EACH
214-01130,214,Plant Condensation Trap (4x4),EACH
214-01140,214,Plant Shade Shelter,EACH
214-01200,214,Plant (Tubeling),EACH
214-01210,214,Plant (Tubeling) (Furnish Only),EACH
214-01215,214,Plant (Tubeling) (Install Only),EACH
214-01220,214,Plant (Bareroot) (Furnish Only),EACH
214-01225,214,Plant (Bareroot) (Install Only),EACH
214-01227,214,Rootwad,EACH
214-01228,214,Riprap Planting Pocket,EACH
214-01229,214,Wetland Sod Mat,SF
214-01230,214,Plant (2.25 Inch Pot) (Furnish Only),EACH
214-01235,214,Plant (2.25 Inch Pot) (Install Only),EACH
214-01310,214,Plant (1 Gallon Container) (Furnish Only),EACH
214-01315,214,Plant (1 Gallon Container) (Install Only),EACH
214-01350,214,Plant (5 Gallon Container) (Furnish Only),EACH
214-01355,214,Plant (5 Gallon Container) (Install Only),EACH
